t,f
4.3,48.95616951
4.31,48.95926905
4.32,48.9623695
4.33,48.96547049
4.34,48.96857166
4.35,48.97167267
4.36,48.97477317
4.37,48.9778728
4.38,48.98097122
4.39,48.98406809
4.4,48.98716306
4.41,48.9902558
4.42,48.99334598
4.43,48.99643327
4.44,48.99951732
4.45,49.00259782
4.46,49.00567445
4.47,49.00874688
4.48,49.01181479
4.49,49.01487787
4.5,49.01793581
4.51,49.0209883
4.52,49.02403503
4.53,49.02707569
4.54,49.03010999
4.55,49.03313763
4.56,49.03615832
4.57,49.03917175
4.58,49.04217765
4.59,49.04517572
4.6,49.04816568
4.61,49.05114726
4.62,49.05412017
4.63,49.05708415
4.64,49.06003891
4.65,49.0629842
4.66,49.06591975
4.67,49.06884529
4.68,49.07176056
4.69,49.07466532
4.7,49.0775593
4.71,49.08044226
4.72,49.08331395
4.73,49.08617413
4.74,49.08902256
4.75,49.09185899
4.76,49.0946832
4.77,49.09749496
4.78,49.10029403
4.79,49.10308019
4.8,49.10585321
4.81,49.10861289
4.82,49.111359
4.83,49.11409134
4.84,49.11680968
4.85,49.11951383
4.86,49.12220358
4.87,49.12487874
4.88,49.1275391
4.89,49.13018447
4.9,49.13281466
4.91,49.13542948
4.92,49.13802876
4.93,49.14061229
4.94,49.14317992
4.95,49.14573146
4.96,49.14826674
4.97,49.1507856
4.98,49.15328786
4.99,49.15577336
5,49.15824194
5.01,49.16069346
5.02,49.16312775
5.03,49.16554466
5.04,49.16794404
5.05,49.17032576
5.06,49.17268966
5.07,49.17503562
5.08,49.1773635
5.09,49.17967316
5.1,49.18196447
5.11,49.18423732
5.12,49.18649157
5.13,49.1887271
5.14,49.19094381
5.15,49.19314157
5.16,49.19532027
5.17,49.19747981
5.18,49.19962008
5.19,49.20174098
5.2,49.20384241
5.21,49.20592427
5.22,49.20798647
5.23,49.21002892
5.24,49.21205153
5.25,49.21405421
5.26,49.2160369
5.27,49.2179995
5.28,49.21994193
5.29,49.22186414
5.3,49.22376604
5.31,49.22564757
5.32,49.22750867
5.33,49.22934926
5.34,49.2311693
5.35,49.23296873
5.36,49.23474749
5.37,49.23650553
5.38,49.2382428
5.39,49.23995926
5.4,49.24165487
5.41,49.24332958
5.42,49.24498336
5.43,49.24661617
5.44,49.24822798
5.45,49.24981877
5.46,49.2513885
5.47,49.25293714
5.48,49.25446469
5.49,49.25597111
5.5,49.2574564
5.51,49.25892053
5.52,49.2603635
5.53,49.2617853
5.54,49.26318592
5.55,49.26456535
5.56,49.26592359
5.57,49.26726065
5.58,49.26857653
5.59,49.26987123
5.6,49.27114476
5.61,49.27239714
5.62,49.27362836
5.63,49.27483845
5.64,49.27602743
5.65,49.27719531
5.66,49.27834212
5.67,49.27946787
5.68,49.2805726
5.69,49.28165634
5.7,49.28271911
5.71,49.28376094
5.72,49.28478188
5.73,49.28578195
5.74,49.2867612
5.75,49.28771966
5.76,49.28865739
5.77,49.28957442
5.78,49.29047081
5.79,49.29134659
5.8,49.29220183
5.81,49.29303658
5.82,49.29385088
5.83,49.2946448
5.84,49.2954184
5.85,49.29617174
5.86,49.29690487
5.87,49.29761787
5.88,49.2983108
5.89,49.29898372
5.9,49.29963672
5.91,49.30026985
5.92,49.30088319
5.93,49.30147682
5.94,49.30205082
